ID,Date,company_name,price_at_close,price_change,price_after_hours,previous_close,today opened,price range,52 week range,volume,average volume,market cap,beta (3Y Monthly),PE Ratio,EPS,earnings date,Dividend Yield,1Y target est
1,Apr 28 2020,XOM - Exxon Mobil Corporation,44.97,+1.03 (+2.34%),44.97,43.94,44.37,44.11 - 45.39,30.11 - 80.53,"25,289,901","38,672,771",190.242B,1.27,13.39,3.36,1-May-20,3.48 (7.92%),47.13
2,Apr 28 2020,OXY - Occidental Petroleum Corporation,15.17,+1.02 (+7.21%),15.17,14.15,14.46,14.30 - 15.26,9.00 - 60.73,"45,496,862","37,022,361",13.908B,1.75,N/A,-1.22,5-May-20,0.44 (3.19%),15.12
3,Apr 28 2020,CVX - Chevron Corporation,89.91,+0.20 (+0.22%),89.91,89.71,89.55,88.83 - 90.96,51.60 - 127.00,"10,152,429","14,838,419",167.86B,1.18,58.38,1.54,1-May-20,5.16 (5.75%),90.62
4,Apr 28 2020,BRK-A - Berkshire Hathaway Inc.,"280,600.00",-664.00 (-0.24%),"280,600.00","281,264.00","285,400.00","280,600.00 - 286,479.91","239,440.00 - 347,400.00",572,600,454.698B,0.88,5.63,"49,828.45",N/A,N/A (N/A),"334,000.00"
5,Apr 28 2020,"FBC - Flagstar Bancorp, Inc.",24.42,+1.67 (+7.34%),24.42,22.75,23.99,21.33 - 25.15,16.76 - 40.00,"1,395,590","346,704",1.385B,1.59,6.43,3.8,"Jul 21, 2020 - Jul 27, 2020",0.20 (0.82%),31.5
6,Apr 28 2020,"PANW - Palo Alto Networks, Inc.",193.55,-3.33 (-1.69%),193.55,196.88,200,193.16 - 200.65,125.47 - 251.11,"1,005,840","1,693,633",19.298B,1.07,N/A,-1.81,"May 27, 2020 - Jun 01, 2020",N/A (N/A),212.77
7,Apr 28 2020,CUB - Cubic Corporation,34.87,-0.40 (-1.13%),34.87,35.27,36.12,33.50 - 36.73,30.86 - 75.20,"535,147","380,187",1.091B,1.37,30.61,1.14,6-May-20,0.27 (0.77%),60.8
8,Apr 28 2020,"EPAM - EPAM Systems, Inc.",208.55,+2.77 (+1.35%),208.55,205.78,208.91,207.79 - 212.71,151.97 - 248.27,"330,061","417,339",11.524B,1.31,46.04,4.53,7-May-20,N/A (N/A),223.14
9,Apr 28 2020,"TTD - The Trade Desk, Inc.",257.94,-5.23 (-1.99%),257.94,263.17,269.54,252.07 - 270.69,136.00 - 323.78,"1,684,915","2,145,676",11.874B,2.46,113.63,2.27,"May 07, 2020 - May 14, 2020",N/A (N/A),238.94
10,Apr 28 2020,"MTCH - Match Group, Inc.",75.24,-3.14 (-4.01%),75.24,78.38,79.31,75.19 - 79.79,44.74 - 95.32,"1,865,225","2,886,673",21.274B,0.48,41.62,1.81,5-May-20,N/A (N/A),83.41
11,Apr 28 2020,SIEGY - Siemens Aktiengesellschaft,45.55,+1.15 (+2.59%),45.55,44.4,46.2,45.55 - 46.51,31.62 - 66.74,"322,566","315,617",73.755B,1.15,11.16,4.08,N/A,2.12 (4.77%),60.23
12,Apr 28 2020,"ISRG - Intuitive Surgical, Inc.",503.45,-13.65 (-2.64%),503.45,517.1,515.87,500.00 - 519.00,360.50 - 619.00,"667,086","1,040,557",58.711B,1.04,43.4,11.6,"Jul 16, 2020 - Jul 20, 2020",N/A (N/A),549.79
13,Apr 28 2020,"AMD - Advanced Micro Devices, Inc.",55.51,-0.98 (-1.73%),55.51,56.49,57.16,55.30 - 57.35,26.03 - 59.27,"80,501,820","81,635,120",64.994B,2.39,185.03,0.3,"Jul 28, 2020 - Aug 03, 2020",N/A (N/A),50.99
14,Apr 28 2020,GOOG - Alphabet Inc.,"1,233.67",-42.21 (-3.31%),"1,233.67","1,275.88","1,287.93","1,232.20 - 1,288.00","1,013.54 - 1,532.11","2,951,309","2,409,953",846.385B,1.05,25.09,49.16,N/A,N/A (N/A),"1,497.90"
15,Apr 28 2020,GOOGL - Alphabet Inc.,"1,232.59",-38.27 (-3.01%),"1,232.59","1,270.86","1,283.20","1,230.65 - 1,284.76","1,008.87 - 1,530.74","4,035,007","2,701,219",848.985B,1.05,25.07,49.16,"Jul 23, 2020 - Jul 27, 2020",N/A (N/A),"1,476.47"
16,Apr 28 2020,IBM - International Business Machines Corporation,126.27,+0.35 (+0.28%),126.27,125.92,128.03,125.38 - 128.20,90.56 - 158.75,"4,447,698","7,187,465",112.179B,1.27,12.51,10.1,20-Jul-20,6.48 (5.15%),127.29
17,Apr 28 2020,MSFT - Microsoft Corporation,169.81,-4.24 (-2.44%),169.81,174.05,175.59,169.39 - 175.67,119.01 - 190.70,"34,392,694","55,443,984",1.292T,0.96,29.58,5.74,29-Apr-20,2.04 (1.17%),186.61
18,Apr 28 2020,AAPL - Apple Inc.,278.58,-4.59 (-1.62%),278.58,283.17,285.08,278.20 - 285.83,170.27 - 327.85,"26,219,110","50,946,396",1.219T,1.17,22.12,12.6,30-Apr-20,3.08 (1.09%),303.15
19,Apr 28 2020,"TSLA - Tesla, Inc.",769.12,-29.63 (-3.71%),769.12,798.75,795.64,756.90 - 805.00,176.99 - 968.99,"15,221,964","20,476,176",141.817B,0.73,N/A,-4.92,29-Apr-20,N/A (N/A),458.88
20,Apr 28 2020,"AMZN - Amazon.com, Inc.","2,314.08",-61.92 (-2.61%),"2,314.08","2,376.00","2,372.10","2,306.00 - 2,373.00","1,626.03 - 2,461.00","5,269,446","6,164,546",1.154T,1.25,100.57,23.01,30-Apr-20,N/A (N/A),"2,532.91"
21,Apr 28 2020,"ROK - Rockwell Automation, Inc.",196.1,+14.42 (+7.94%),196.1,181.68,194.22,191.14 - 199.97,115.38 - 209.61,"2,288,286","1,236,058",22.784B,1.38,25.02,7.84,"Jul 23, 2020 - Jul 27, 2020",4.08 (2.25%),163.95
22,Apr 28 2020,CGNX - Cognex Corporation,55.85,+6.01 (+12.06%),55.85,49.84,53.72,52.72 - 57.68,35.20 - 59.14,"3,066,246","1,321,725",9.65B,N/A,51.24,1.09,"Jul 27, 2020 - Jul 31, 2020",0.22 (0.44%),47.67
23,Apr 28 2020,IRBT - iRobot Corporation,61.13,+4.03 (+7.06%),61.13,57.1,57.31,56.74 - 61.48,32.79 - 105.07,"2,426,235","1,351,607",1.704B,1.31,20.58,2.97,21-Jul-20,N/A (N/A),53.25
24,Apr 28 2020,KIGRY - KION GROUP AG,11.79,-0.94 (-7.38%),11.79,12.73,12.04,11.73 - 12.04,8.97 - 18.44,"4,460","13,571",5.59B,1.33,10.69,1.1,N/A,0.67 (5.70%),N/A
25,Apr 28 2020,CGC - Canopy Growth Corporation,16.74,-0.79 (-4.51%),16.74,17.53,18.25,16.46 - 18.25,9.00 - 52.74,"8,611,532","6,517,334",5.812B,2.8,N/A,-1.79,"Nov 24, 2016 - Nov 28, 2016",N/A (N/A),N/A
26,Apr 28 2020,ACB - Aurora Cannabis Inc.,0.7575,-0.0025 (-0.33%),0.7575,0.76,0.8,0.7190 - 0.8000,0.6000 - 9.3700,"20,527,482","31,921,773",992.477M,1.99,3.51,0.216,N/A,N/A (N/A),N/A
27,Apr 28 2020,ABB - ABB Ltd,18.63,+0.71 (+3.96%),18.63,17.92,18.72,18.50 - 18.78,14.71 - 25.30,"2,840,529","2,707,471",39.551B,1.15,27.81,0.67,N/A,0.77 (4.32%),19.58
